TACC_Dnase I.lag1,TACC_Dnase I.lag2,TACC_Nucleosome.lag1,TACC_Nucleosome.lag2,TACC_Dnase I.Nucleosome.lag.1,TACC_Dnase I.Nucleosome.lag.2,TACC_Nucleosome.Dnase I.lag.1,TACC_Nucleosome.Dnase I.lag.2
DVU0327,0.033,-0.021,0.238,0.032,-0.132,-0.003,-0.099,-0.012
DVU0328,-0.016,-0.015,0.242,0.041,-0.083,-0.002,-0.069,0.001
DVU0329,-0.066,-0.054,0.129,-0.159,-0.021,0.088,-0.061,0.057
DVU0330,0.011,0.02,0.212,-0.009,-0.076,-0.01,-0.11,-0.005
DVU0331,0.007,-0.008,0.209,0.007,-0.091,-0.002,-0.093,-0.005
DVU0332,-0.072,0.022,0.221,0.033,-0.101,-0.012,-0.012,0.017
DVU0333,0.007,0.006,0.239,0.011,-0.084,-0.007,-0.112,-0.009
DVU0334,0.006,0.015,0.23,-0.026,-0.146,-0.036,-0.098,0.038
DVU0335,0.007,-0.019,0.167,0.001,-0.087,0.002,-0.071,0.004
DVU0336,-0.003,-0.02,0.206,-0.026,-0.077,0.017,-0.071,0.015
DVU0337,-0.013,0.004,0.217,0.01,-0.087,-0.009,-0.084,0.002
DVU0338,0.025,0.044,0.246,0.033,-0.152,-0.043,-0.133,-0.037
DVU0339,0.014,-0.049,0.169,-0.021,-0.071,0.044,-0.076,0.029
DVU0340,-0.022,-0.011,0.19,0.028,-0.079,-0.011,-0.037,0.016
DVU0341,0.017,-0.042,0.225,0.012,-0.097,0.005,-0.086,0.019
DVU0342,0.009,-0.03,0.245,0.026,-0.115,-0.006,-0.081,0.013
DVU0343,-0.031,-0.041,0.221,0.006,-0.052,0.055,-0.096,0.025
DVU0344,-0.016,0.02,0.234,0.06,-0.083,-0.04,-0.105,-0.029
DVU0345,-0.073,0.128,0.149,0.004,-0.1,-0.128,0.03,-0.058
DVU0346,0,-0.012,0.274,0.017,-0.11,0.008,-0.099,-0.014
DVU0347,-0.047,-0.002,0.122,-0.039,-0.01,0.047,-0.021,-0.007
DVU0348,0.002,-0.007,0.207,-0.008,-0.084,-0.002,-0.089,0.005
DVU0349,0.02,0.012,0.209,0.005,-0.146,-0.036,-0.099,0.007
DVU0350,0.01,-0.035,0.173,-0.068,-0.071,0.047,-0.062,0.045
DVU0351,0.023,-0.001,0.196,-0.005,-0.096,-0.008,-0.086,0
DVU0352,0.035,0.019,0.271,0.065,-0.14,-0.045,-0.14,-0.031
DVU0353,0.021,-0.032,0.206,0.015,-0.119,-0.002,-0.091,0.01
DVU0354,0.065,0.015,0.262,0.007,-0.145,-0.01,-0.11,-0.002
DVU0355,0.028,-0.007,0.22,-0.003,-0.101,0.014,-0.096,0.004
DVU0356,-0.072,0.012,0.242,0.035,-0.075,0,-0.074,-0.036
DVU0357,0.021,0.038,0.196,-0.008,-0.111,-0.042,-0.095,-0.021
DVU0358,0.003,0.016,0.31,0.037,-0.134,-0.045,-0.089,0.011
DVU0359,0.025,0.007,0.323,0.028,-0.166,0.008,-0.108,-0.014
DVU0360,0.01,-0.017,0.215,-0.026,-0.113,0.005,-0.067,0.036
DVU0361,0.017,0.019,0.15,0.013,-0.149,-0.036,-0.036,0.024
DVU0362,0.008,-0.002,0.158,-0.045,-0.067,0.004,-0.081,0.008
DVU0363,0.021,-0.004,0.213,-0.011,-0.074,0.005,-0.093,-0.003
DVU0364,0.036,-0.035,0.193,-0.035,-0.086,0.045,-0.113,0.013
DVU0365,-0.037,-0.012,0.212,-0.083,-0.074,0.027,-0.067,0.051
DVU0366,-0.023,-0.015,0.147,-0.03,-0.018,0.03,-0.05,-0.005
DVU0367,0.011,0.066,0.24,0.011,-0.15,-0.065,-0.124,-0.008
DVU0368,-0.063,0.144,0.241,0.048,-0.183,-0.116,-0.045,-0.057
DVU0369,0.343,0.294,0.959,0.508,0.399,0.295,0.678,0.482
DVU0370,0.021,-0.005,0.594,0.287,-0.218,-0.084,-0.35,-0.113
DVU0371,0.017,0.021,0.287,0.021,-0.13,-0.007,-0.125,-0.018
DVU0372,0,0.03,0.245,0.024,-0.163,-0.024,-0.106,-0.036
DVU0373,0.017,-0.009,0.227,0.004,-0.095,-0.011,-0.097,0.01
DVU0374,0.017,-0.002,0.216,0.007,-0.127,0,-0.09,0.004
DVU0375,0.029,0.025,0.225,0.037,-0.135,-0.031,-0.139,-0.041
DVU0376,0.082,0.195,0.398,0.078,-0.308,-0.13,-0.298,-0.076
DVU0377,0.013,-0.016,0.251,0.011,-0.118,0.008,-0.086,-0.007
DVU0378,0.036,0.078,0.374,0.092,-0.198,-0.062,-0.127,-0.055
DVU0379,0.053,0.074,0.249,0.025,-0.17,-0.058,-0.122,0.011
DVU0380,0.03,-0.006,0.248,0.01,-0.148,-0.009,-0.132,0.001
DVU0381,0.021,0.011,0.249,0.05,-0.107,-0.017,-0.104,-0.033
DVU0382,0.25,0.248,0.534,0.266,-0.233,-0.086,-0.187,-0.148
DVU0383,-0.011,-0.001,0.138,-0.041,-0.067,0.026,-0.049,-0.012
DVU0384,0.016,-0.004,0.236,0.027,-0.13,-0.017,-0.095,0.008
DVU0385,0.276,0.21,0.751,0.245,-0.361,-0.23,-0.449,-0.29
DVU0386,0.009,0.004,0.226,0.024,-0.092,-0.019,-0.121,0.008
DVU0387,-0.022,-0.014,0.314,0.097,-0.131,-0.018,-0.121,-0.025
DVU0388,-0.009,0.014,0.268,0.053,-0.112,-0.021,-0.101,-0.001
DVU0389,-0.006,-0.023,0.243,0.045,-0.126,-0.035,-0.061,0.014
DVU0390,0.024,0.021,0.213,0.004,-0.133,-0.033,-0.08,0.011
DVU0391,-0.011,0.024,0.195,0.024,-0.08,-0.026,-0.077,-0.019
DVU0392,0.004,0.018,0.189,0.036,-0.112,-0.04,-0.048,0
DVU0393,0.013,0.014,0.238,0.011,-0.124,-0.03,-0.092,0.004
DVU0394,0.019,0.025,0.241,0.022,-0.101,-0.02,-0.096,0.016
DVU0395,0.031,0.009,0.279,0.079,-0.152,-0.055,-0.115,-0.046
DVU0396,0.021,0.02,0.302,-0.002,-0.165,-0.058,-0.142,-0.02
DVU0397,-0.012,-0.011,0.269,0.036,-0.114,-0.027,-0.071,0.011
DVU0398,0.036,-0.008,0.233,0.003,-0.123,0.011,-0.118,0
DVU0399,-0.01,0.01,0.266,0.015,-0.089,-0.029,-0.092,0.004
DVU0400,-0.001,-0.011,0.242,0.036,-0.086,-0.042,-0.093,0.022
DVU0401,0.063,-0.003,0.328,0.103,-0.125,-0.029,-0.177,-0.067
DVU0402,0.041,0.056,0.238,0.031,-0.158,-0.058,-0.15,-0.037
DVU0403,0.029,-0.002,0.234,0.02,-0.119,-0.007,-0.137,-0.02
DVU0404,0.065,0.066,0.207,-0.04,-0.223,-0.019,-0.132,0.001
DVU0405,0.014,-0.005,0.284,0.031,-0.126,-0.001,-0.127,0.011
DVU0406,0.005,0.025,0.311,0.097,-0.085,-0.021,-0.059,-0.032
DVU0407,0.066,0.031,0.345,0.059,-0.184,-0.01,-0.178,-0.053
DVU0408,0.03,0.057,0.276,0.053,-0.117,-0.061,-0.105,-0.042
DVU0409,0.024,0.039,0.141,-0.033,-0.071,-0.011,-0.081,-0.014
DVU0410,0.073,0.041,0.276,0.072,-0.203,-0.061,-0.155,-0.054
DVU0411,0.008,0.016,0.208,0.016,-0.093,-0.053,-0.084,-0.017
DVU0412,0.052,-0.031,0.207,-0.011,-0.125,-0.002,-0.118,0.023
DVU0413,0.021,-0.022,0.198,0.006,-0.086,0.03,-0.091,0
DVU0414,-0.006,-0.033,0.256,0.024,-0.087,0.018,-0.093,0.008
DVU0415,0.019,-0.027,0.232,-0.01,-0.076,-0.009,-0.066,0.041
DVU0416,0.039,0.006,0.237,0.029,-0.121,-0.035,-0.123,-0.005
DVU0417,0.025,-0.016,0.242,0.026,-0.108,0.005,-0.092,-0.023
DVU0418,0.032,0.014,0.264,0.025,-0.153,-0.031,-0.136,-0.013
DVU0419,-0.007,0.027,0.241,0.025,-0.1,0,-0.083,-0.018
DVU0420,0.016,0.077,0.163,-0.005,-0.176,-0.005,-0.132,-0.011
DVU0421,-0.023,0.022,0.232,0.004,-0.106,-0.013,-0.066,-0.038
DVU0422,0.018,0.014,0.211,0.021,-0.109,-0.032,-0.095,-0.015
DVU0423,0.003,-0.013,0.223,0.027,-0.086,-0.089,-0.064,0.024
DVU0424,-0.018,0.041,0.267,0.058,-0.141,-0.042,-0.073,-0.027
DVU0425,0,-0.03,0.203,-0.081,-0.072,0.021,-0.074,0.03
DVU0426,-0.006,0.042,0.219,-0.003,-0.126,-0.04,-0.092,-0.027
DVU0427,-0.005,0.117,0.343,0.025,-0.233,-0.035,-0.145,-0.031
DVU0428,0.055,0.033,0.303,0.058,-0.198,-0.153,-0.117,-0.024
DVU0429,0.086,0.041,0.273,0.006,-0.158,-0.031,-0.131,-0.022
DVU0430,0.018,0.036,0.189,0.003,-0.126,-0.012,-0.095,-0.021
DVU0431,-0.007,0.038,0.286,0.03,-0.15,-0.032,-0.178,-0.049
DVU0432,0.015,0.028,0.186,-0.018,-0.103,0.023,-0.103,-0.021
DVU0433,0.032,-0.028,0.226,0.02,-0.117,0.006,-0.125,-0.008
DVU0434,-0.009,-0.011,0.234,0.039,-0.095,-0.011,-0.072,-0.012
DVU0435,0.129,0.16,0.445,0.069,-0.16,-0.134,-0.248,-0.016
DVU0436,0.021,0.046,0.321,0.093,-0.156,-0.064,-0.129,-0.059
DVU0437,-0.008,0.001,0.223,-0.027,-0.128,0.008,-0.095,0.019
DVU0438,0.007,-0.024,0.233,0.003,-0.123,0.022,-0.101,0.005
DVU0439,0.051,0.047,0.248,0.015,-0.188,-0.05,-0.103,0.004
DVU0440,-0.004,-0.026,0.18,-0.028,-0.089,0.013,-0.073,0.023
DVU0441,-0.005,-0.008,0.157,-0.054,-0.052,0.025,-0.054,0.033
DVU0442,0.029,-0.017,0.243,-0.002,-0.107,0.015,-0.128,0.007
DVU0443,-0.043,0.028,0.151,-0.007,-0.071,-0.053,-0.052,0.022
DVU0444,-0.019,-0.032,0.153,-0.037,-0.041,0.018,-0.051,0.028
DVU0445,-0.004,0.001,0.154,-0.005,-0.055,-0.002,-0.076,-0.005
DVU0446,-0.006,-0.018,0.25,0.034,-0.108,0.004,-0.091,-0.004
DVU0447,0.061,-0.062,0.194,-0.072,-0.138,0.051,-0.116,0.06
DVU0448,0.04,0.034,0.303,0.049,-0.148,-0.028,-0.111,-0.025
DVU0449,0.031,0.02,0.254,0.034,-0.119,-0.026,-0.11,-0.03
DVU0450,0.019,0.013,0.237,0.006,-0.062,0.019,-0.078,0
DVU0451,-0.007,-0.034,0.242,0.007,-0.108,0.011,-0.079,0.023
DVU0452,0.007,-0.003,0.229,-0.001,-0.083,-0.003,-0.097,0.002
DVU0453,0.003,0.009,0.244,0.027,-0.106,-0.022,-0.088,0.004
DVU0454,0.05,0.051,0.355,0.051,-0.155,-0.051,-0.153,-0.056
DVU0455,0.003,0.001,0.229,0.051,-0.122,-0.021,-0.089,-0.005
DVU0456,-0.006,-0.013,0.242,0.047,-0.089,-0.012,-0.081,-0.021
DVU0457,0.008,0,0.216,-0.003,-0.075,-0.02,-0.083,0.003
DVU0458,0.586,0.42,0.92,0.468,-0.488,-0.285,-0.446,-0.206
DVU0459,0.129,0.1,0.602,0.163,0.076,0.244,0.077,0.013
DVU0460,-0.011,-0.024,0.194,0.023,-0.107,-0.014,-0.066,0.017
DVU0461,0.028,-0.01,0.231,0.013,-0.083,0.012,-0.126,-0.018
DVU0462,-0.012,0.007,0.208,-0.047,-0.109,0.007,-0.097,0.024
DVU0463,-0.023,-0.013,0.213,-0.007,-0.081,0.017,-0.076,0.016
DVU0464,-0.002,-0.004,0.239,-0.041,-0.114,-0.015,-0.06,0.038
DVU0465,0.028,0.019,0.198,0.011,-0.111,-0.008,-0.098,-0.006
DVU0466,-0.01,-0.054,0.229,0.015,-0.11,0.002,-0.063,0.011
DVU0467,-0.014,-0.017,0.189,-0.016,-0.092,-0.007,-0.068,0.024
DVU0468,-0.031,-0.038,0.173,-0.04,-0.075,0.034,-0.029,0.041
DVU0469,0.029,-0.02,0.208,-0.033,-0.14,0.019,-0.103,0.013
DVU0470,0.009,0.034,0.171,0.024,-0.111,-0.053,-0.087,-0.031
DVU0471,-0.031,-0.05,0.186,-0.062,-0.096,0.05,-0.036,0.065
DVU0472,0.143,0.077,0.512,0.108,-0.032,0.066,-0.112,-0.091
DVU0473,-0.058,0.037,0.467,0.122,-0.26,-0.151,0.003,0.011
DVU0474,0.11,0.086,0.427,0.107,-0.191,-0.112,-0.178,-0.06
DVU0475,0.069,-0.04,0.489,0.149,-0.232,-0.078,-0.131,-0.025
DVU0476,0.126,-0.092,0.478,0.161,-0.06,-0.019,-0.028,-0.079
DVU0477,0.016,0.027,0.23,0.003,-0.117,-0.006,-0.109,-0.021
DVU0478,-0.007,-0.03,0.193,-0.043,-0.084,0.027,-0.061,0.025
DVU0479,-0.021,0.022,0.212,-0.024,-0.147,-0.032,-0.055,0.011
DVU0480,-0.032,-0.008,0.217,-0.01,-0.082,0.018,-0.039,0.006
DVU0481,0.022,0.036,0.246,0.03,-0.153,-0.025,-0.099,-0.014
DVU0482,0.022,0.006,0.225,-0.021,-0.117,-0.013,-0.127,0.021
DVU0483,0.003,-0.01,0.209,-0.011,-0.083,-0.003,-0.094,0.023
DVU0484,-0.026,0.001,0.211,-0.031,-0.089,0.006,-0.091,0.033
DVU0485,0.013,-0.002,0.22,0.034,-0.121,-0.023,-0.105,-0.035
DVU0486,0.028,-0.022,0.269,0.039,-0.087,-0.052,-0.062,-0.017
DVU0487,0.021,-0.006,0.158,-0.03,-0.074,0.012,-0.084,0.013
DVU0488,0.072,0.001,0.261,-0.015,-0.162,0.001,-0.146,0.005
DVU0489,0.019,0.001,0.192,-0.037,-0.095,0.009,-0.099,0.001
DVU0491,0.038,0.019,0.224,0.013,-0.124,-0.001,-0.102,-0.017
DVU0492,0.005,-0.033,0.214,-0.014,-0.075,0.019,-0.07,0.04
DVU0493,0.062,0.013,0.298,0.126,-0.162,-0.12,-0.13,-0.026
DVU0494,0.026,-0.04,0.206,-0.025,-0.082,0.047,-0.106,0.014
DVU0495,0.015,-0.024,0.222,-0.011,-0.085,0.031,-0.076,0.025
DVU0496,0.019,-0.005,0.22,0,-0.069,-0.001,-0.105,-0.001
DVU0497,0.031,0.023,0.223,0.079,-0.09,-0.037,-0.104,-0.071
DVU0498,0.057,0.021,0.219,0.023,-0.123,-0.035,-0.124,-0.011
DVU0499,-0.056,0.024,0.227,0.044,-0.021,-0.017,-0.024,-0.012
DVU0500,0.015,0.021,0.225,0.017,-0.094,-0.017,-0.116,-0.009
DVU0501,0.053,0.048,0.27,0.038,-0.154,-0.03,-0.135,-0.07
DVU0502,0.033,0.075,0.44,0.137,-0.117,-0.075,-0.112,-0.106
DVU0503,0.007,-0.024,0.208,0.011,-0.094,0.009,-0.1,0.002
DVU0504,0.13,0.054,0.337,0.078,-0.258,-0.08,-0.271,-0.086
DVU0505,0.013,0.034,0.264,0.068,-0.128,-0.066,-0.111,-0.028
DVU0506,0.029,-0.017,0.226,-0.016,-0.107,-0.014,-0.111,0.02
DVU0507,0.044,0.068,0.317,0.118,-0.162,-0.092,-0.184,-0.061
DVU0508,0.008,-0.027,0.193,-0.013,-0.074,0.018,-0.084,0.017
DVU0509,-0.047,0.009,0.235,0.056,-0.063,-0.038,-0.021,-0.012
DVU0510,0.013,0.035,0.259,0.039,-0.12,-0.012,-0.123,-0.051
DVU0511,0.026,-0.004,0.278,-0.002,-0.093,-0.04,-0.107,0.026
DVU0512,0.012,-0.018,0.263,0.027,-0.076,0.005,-0.093,-0.001
DVU0513,0.012,0.015,0.247,0.039,-0.141,-0.024,-0.09,-0.031
DVU0514,-0.012,-0.037,0.29,0.002,-0.099,-0.014,-0.096,0.055
DVU0515,0.047,-0.036,0.252,-0.018,-0.133,0.027,-0.119,0.018
DVU0516,0.008,-0.047,0.246,0.01,-0.101,0.047,-0.112,-0.026
DVU0517,-0.014,-0.016,0.198,-0.049,-0.073,0.011,-0.06,0.026
DVU0518,0.034,-0.039,0.213,-0.025,-0.078,-0.001,-0.118,0.055
DVU0519,0.026,0.019,0.251,0.014,-0.129,-0.017,-0.13,-0.011
DVU0520,0.004,-0.008,0.22,0.012,-0.072,-0.006,-0.079,-0.002
DVU0521,0.04,0.03,0.26,0.095,-0.104,-0.061,-0.098,-0.053
DVU0522,0.033,-0.01,0.295,0.064,-0.136,-0.009,-0.124,-0.016
DVU0523,0.142,0.013,0.315,-0.034,-0.185,0,-0.226,0.004
DVU0524,0.047,0.013,0.295,0.003,-0.12,-0.023,-0.114,-0.03
DVU0525,-0.005,0.027,0.302,0.062,-0.061,-0.016,-0.079,0.008
DVU0526,-0.018,-0.024,0.223,0.014,-0.065,0.023,-0.031,0.011
DVU0527,0.01,0.014,0.268,0,-0.068,0.021,-0.04,0.039
DVU0528,0.018,-0.028,0.215,-0.039,-0.051,0.051,-0.057,0.038
DVU0529,0.087,0.087,0.256,0.021,-0.186,-0.077,-0.182,-0.023
DVU0530,0.002,-0.009,0.229,0.025,-0.117,-0.023,-0.111,0.031
DVU0531,0.013,0.025,0.231,0.053,-0.121,-0.033,-0.134,-0.032
DVU0532,-0.009,0.005,0.183,0.016,-0.098,0.006,-0.067,-0.017
DVU0533,0.025,-0.047,0.239,0.023,-0.145,-0.021,-0.156,0.018
DVU0534,-0.008,-0.011,0.136,-0.008,-0.088,0.015,-0.059,-0.007
DVU0535,0.036,0.003,0.22,-0.026,-0.13,-0.009,-0.123,0.014
DVU0536,0.045,0.011,0.243,-0.017,-0.166,-0.016,-0.123,0.005
DVU0537,0.231,0.101,0.584,0.255,-0.137,-0.038,-0.176,0.015
DVU0538,0.027,0.064,0.2,-0.01,-0.109,-0.042,-0.077,-0.044
DVU0539,0.025,0.042,0.232,0.035,-0.111,-0.043,-0.116,-0.032
DVU0540,0.023,0.023,0.227,0.014,-0.102,-0.027,-0.107,-0.018
DVU0541,0.05,-0.134,0.398,0.126,0.061,-0.052,0.048,-0.008
DVU0542,0.044,0.054,0.235,-0.037,-0.185,-0.054,-0.12,-0.013
DVU0543,0.008,0.007,0.209,0.023,-0.103,-0.024,-0.048,-0.012
DVU0544,0.081,0.037,0.271,0.034,-0.181,-0.023,-0.177,-0.021
DVU0545,-0.012,-0.015,0.199,-0.005,-0.127,0.01,-0.087,-0.036
DVU0546,0.26,0.19,0.63,0.303,-0.335,-0.229,-0.355,-0.281
DVU0547,0.004,0.021,0.225,0.012,-0.124,-0.013,-0.099,-0.026
DVU0548,-0.059,0.009,0.252,0.114,-0.066,-0.028,-0.038,-0.055
DVU0549,0.032,-0.004,0.287,0.052,-0.126,-0.028,-0.095,-0.008
DVU0550,0.086,0.042,0.262,0.047,-0.168,-0.08,-0.167,-0.046
DVU0551,0.011,-0.015,0.248,0.016,-0.119,0.029,-0.119,0.012
DVU0552,0.093,0.076,0.431,0.101,-0.095,-0.087,-0.114,-0.081
DVU0553,0.187,0.073,0.615,0.154,-0.201,0.007,-0.235,-0.088
DVU0554,0.046,0.048,0.361,0.07,-0.122,-0.011,-0.056,-0.028
DVU0555,0.105,0.042,0.635,0.099,-0.002,0.042,-0.024,-0.073
DVU0556,0.172,0.169,0.539,0.223,-0.374,-0.222,-0.308,-0.14
DVU0558,0.443,0.305,0.756,0.324,-0.203,-0.224,0.04,-0.094
DVU0560,0.322,0.313,0.659,0.214,-0.013,-0.015,0.064,-0.051
DVU0561,0.067,0.093,0.382,0.072,-0.156,-0.067,-0.12,-0.027
DVU0562,0.224,0.051,0.556,0.131,-0.375,-0.2,-0.261,-0.175
DVU0563,0.053,0.087,0.468,0.085,-0.181,-0.088,-0.184,-0.108
DVU0564,0.08,0.036,0.436,0.133,-0.196,-0.126,-0.163,-0.068
DVU0565,0.009,0.039,0.245,0.008,-0.106,-0.031,-0.105,-0.033
DVU0566,-0.021,0.089,0.317,0.039,-0.118,-0.041,-0.139,-0.089
DVU0567,-0.009,0.026,0.202,0.023,-0.097,-0.019,-0.058,-0.018
DVU0568,-0.003,-0.016,0.203,-0.035,-0.067,0.007,-0.095,0.026
DVU0569,0.056,0.009,0.301,0.055,-0.151,-0.056,-0.118,-0.036
DVU0570,0.015,0.09,0.566,0.246,0.031,-0.064,-0.028,-0.135
DVU0571,0,-0.001,0.217,0.005,-0.126,0,-0.077,-0.006
DVU0572,-0.008,-0.004,0.187,-0.025,-0.111,0.016,-0.03,-0.004
DVU0573,-0.002,-0.004,0.219,-0.001,-0.088,-0.009,-0.094,0.004
DVU4025,0.038,-0.01,0.213,0.018,-0.126,-0.033,-0.121,-0.006
DVU0575,0.05,0.085,0.386,0.086,-0.214,-0.133,-0.211,-0.016
DVU0576,0.047,0.076,0.295,0.02,-0.158,-0.042,-0.114,-0.064
DVU0577,0.014,0.033,0.248,0.02,-0.13,-0.034,-0.102,-0.004
DVU0578,-0.035,0.022,0.188,0.053,-0.058,-0.036,-0.033,-0.018
DVU0579,-0.014,-0.016,0.221,-0.016,-0.112,-0.024,-0.067,0.023
DVU0580,-0.027,-0.012,0.272,0.012,-0.119,0,-0.073,-0.009
DVU0581,0.01,-0.012,0.162,0.006,-0.06,0.003,-0.057,-0.01
DVU0582,0.026,-0.006,0.226,0.015,-0.096,-0.013,-0.095,0.007
DVU0583,0.011,-0.012,0.204,-0.037,-0.106,0.025,-0.08,0.015
DVU0584,0.007,0.013,0.265,0.016,-0.138,-0.047,-0.081,0.005
DVU0585,-0.002,-0.017,0.222,0.007,-0.087,0.003,-0.078,0.011
DVU0586,0.038,-0.04,0.146,-0.046,-0.081,0.021,-0.042,0.075
DVU0588,-0.012,0.033,0.179,0.023,-0.13,-0.004,-0.054,-0.05
DVU0589,-0.005,0.017,0.217,0.037,-0.111,-0.038,-0.061,-0.02
DVU0590,0.044,-0.02,0.34,0.122,-0.111,-0.093,-0.101,-0.087
DVU0591,0,0.02,0.221,-0.011,-0.114,-0.027,-0.093,0.014
DVU0592,0.025,0.003,0.172,0.02,-0.101,-0.019,-0.07,-0.007
DVU0593,-0.03,-0.004,0.221,0.012,-0.066,0.028,-0.045,-0.002
DVU0594,-0.026,-0.014,0.218,-0.024,-0.102,0.004,-0.057,0.036
DVU0595,0.094,-0.004,0.242,-0.01,-0.136,-0.023,-0.132,-0.02
DVU0596,-0.01,-0.026,0.232,-0.012,-0.117,-0.003,-0.082,0.034
DVU0597,0,-0.026,0.242,0.003,-0.092,0,-0.086,-0.001
DVU0598,-0.034,0.015,0.223,0.014,-0.139,0.007,-0.068,-0.021
DVU0599,-0.012,0.018,0.249,0.051,-0.099,0.026,-0.024,0
DVU0600,-0.029,0,0.204,0.031,-0.069,-0.026,-0.055,-0.016
DVU0601,-0.08,0.024,0.299,0.064,-0.163,-0.044,-0.049,-0.033
DVU0602,0.019,-0.007,0.215,0.011,-0.088,0.024,-0.093,-0.004
DVU0603,0.023,0.033,0.261,0.055,-0.156,-0.05,-0.118,-0.058
DVU0604,-0.018,-0.033,0.371,0.199,-0.108,-0.099,-0.01,-0.019
DVU0605,-0.132,0.082,0.298,-0.005,-0.19,-0.175,0.083,0.102
DVU0606,-0.029,0.009,0.273,0.03,-0.137,-0.058,-0.075,0.017
DVU0607,0.006,0.001,0.211,0.005,-0.112,-0.003,-0.106,-0.007
DVU0608,0.012,0.037,0.245,0.029,-0.137,-0.039,-0.111,-0.022
DVU0609,0.062,0.033,0.272,0.03,-0.088,-0.033,-0.165,-0.048
DVU0610,0.013,0.013,0.231,0.008,-0.124,-0.017,-0.09,-0.02
DVU0611,0.039,-0.008,0.228,0.001,-0.105,-0.012,-0.127,0.019
DVU0612,-0.013,-0.001,0.292,0.065,-0.104,-0.023,-0.082,-0.028
DVU0613,0.008,0.21,0.234,0.069,-0.345,-0.232,-0.149,0.05
DVU0614,0.001,0.071,0.194,0.023,-0.112,-0.013,-0.098,-0.093
DVU0615,0.247,0.188,0.657,0.104,-0.137,0.082,-0.128,0.059
DVU0616,0.022,0.04,0.277,0.091,-0.186,-0.056,-0.113,0
DVU0617,-0.013,0.002,0.232,0.059,-0.134,-0.052,-0.083,0
DVU0618,0.206,0.064,0.58,0.316,-0.068,-0.024,-0.04,-0.082
DVU0619,0.022,0.023,0.255,0.034,-0.13,-0.043,-0.14,-0.018
DVU0620,0.039,0.121,0.303,0.027,-0.199,-0.117,-0.095,-0.036
DVU0621,0.006,0.027,0.254,0.025,-0.127,-0.05,-0.106,-0.011
DVU0622,0.026,0.037,0.241,0.026,-0.123,-0.034,-0.099,-0.026
DVU0623,0.184,0.039,0.509,0.204,0.026,0.05,0.067,0.059
DVU0624,-0.04,0.046,0.233,0.013,-0.163,-0.077,-0.061,-0.004
DVU0625,0.005,0.001,0.246,0.021,-0.17,-0.046,-0.101,0.001
DVU0626,0.028,0.032,0.237,0.079,-0.111,-0.065,-0.104,-0.055
DVU0627,-0.004,0.024,0.198,0.007,-0.1,-0.017,-0.073,-0.017
DVU0628,-0.044,-0.006,0.214,-0.001,-0.073,-0.016,-0.048,-0.001
DVU0629,-0.008,0.045,0.281,0.061,-0.105,-0.078,-0.092,-0.021
DVU0630,-0.189,-0.043,0.354,0.124,-0.014,-0.044,0.083,0.094
DVU0631,-0.014,0.005,0.197,-0.014,-0.086,0.009,-0.087,0.002
DVU0632,0.012,0.002,0.195,-0.01,-0.081,0.016,-0.085,0.013
DVU0633,0.012,-0.01,0.253,0.024,-0.104,-0.012,-0.103,0.012
DVU0634,0.002,0.015,0.266,0.047,-0.107,-0.024,-0.103,-0.025
DVU0635,-0.016,-0.027,0.202,0.003,-0.083,0.037,-0.067,0.008
DVU0636,0,0.041,0.243,-0.002,-0.092,-0.01,-0.061,-0.006
DVU0637,0.014,-0.009,0.262,0.022,-0.101,0,-0.108,-0.041
DVU0638,0.017,0.026,0.234,0.049,-0.11,-0.04,-0.082,-0.023
DVU0639,0.051,0.074,0.283,0.066,-0.111,-0.068,-0.138,-0.067
DVU0640,0.032,0.039,0.234,0.068,-0.126,-0.067,-0.108,-0.044
DVU0641,0.067,0.096,0.294,0.028,-0.179,-0.112,-0.176,-0.025
DVU0642,0.053,0.055,0.232,0.036,-0.164,-0.114,-0.096,0.004
DVU0643,0.015,-0.018,0.201,-0.057,-0.063,0.027,-0.088,0.034
DVU0644,0.074,0.075,0.279,0.039,-0.134,-0.006,-0.155,-0.097
DVU0645,-0.025,0.02,0.242,0.017,-0.097,-0.016,-0.09,-0.012
DVU0646,0,-0.039,0.188,-0.04,-0.071,0.024,-0.064,0.022
DVU0647,0.012,0.009,0.198,0.016,-0.094,-0.018,-0.107,0.006
DVU0648,-0.007,-0.038,0.187,0.002,-0.07,0.018,-0.072,0.017
DVU0649,-0.031,-0.03,0.143,-0.028,-0.041,0.038,-0.036,0.019
DVU0650,-0.005,-0.014,0.196,-0.043,-0.087,0.017,-0.088,0.036
DVU0651,-0.008,-0.039,0.205,-0.031,-0.063,0.022,-0.073,0.044
DVU0652,0.038,-0.01,0.232,0.031,-0.131,-0.012,-0.125,0.007
DVU0653,0.008,0.005,0.252,-0.004,-0.103,-0.003,-0.099,-0.002
DVU0654,0.014,-0.007,0.244,-0.013,-0.113,-0.015,-0.097,0.02
DVU0655,-0.005,-0.01,0.229,-0.025,-0.085,-0.005,-0.084,0.005
DVU0656,0.019,0,0.253,-0.037,-0.129,-0.004,-0.134,0.016
DVU0657,0.008,-0.035,0.2,0.064,-0.07,-0.019,-0.063,0.012
DVU0658,0.025,0.012,0.211,-0.021,-0.103,-0.015,-0.08,0.034
DVU0659,0.03,-0.02,0.232,-0.026,-0.111,0.024,-0.118,0.022
