PseDNC_Xc1.AA,PseDNC_Xc1.AC,PseDNC_Xc1.AG,PseDNC_Xc1.AT,PseDNC_Xc1.CA,PseDNC_Xc1.CC,PseDNC_Xc1.CG,PseDNC_Xc1.CT,PseDNC_Xc1.GA,PseDNC_Xc1.GC,PseDNC_Xc1.GG,PseDNC_Xc1.GT,PseDNC_Xc1.TA,PseDNC_Xc1.TC,PseDNC_Xc1.TG,PseDNC_Xc1.TT,PseDNC_Xc2.lambda.1,PseDNC_Xc2.lambda.2,PseDNC_Xc2.lambda.3
DVU0164,0.013,0.032,0.038,0.051,0.054,0.047,0.08,0.045,0.048,0.087,0.074,0.054,0.018,0.06,0.073,0.022,0.084,0.059,0.061
DVU0165,0.029,0.056,0.03,0.035,0.07,0.087,0.087,0.05,0.04,0.083,0.052,0.041,0.01,0.069,0.047,0.018,0.079,0.058,0.058
DVU0166,0.026,0.048,0.044,0.034,0.063,0.075,0.096,0.049,0.055,0.094,0.054,0.039,0.007,0.067,0.049,0.013,0.077,0.059,0.053
DVU0167,0.02,0.034,0.027,0.038,0.055,0.073,0.089,0.064,0.03,0.093,0.063,0.043,0.013,0.081,0.051,0.033,0.077,0.058,0.056
DVU0168,0.023,0.042,0.026,0.044,0.065,0.072,0.081,0.055,0.034,0.076,0.059,0.047,0.013,0.084,0.049,0.033,0.079,0.06,0.057
DVU0169,0.043,0.064,0.047,0.032,0.075,0.094,0.078,0.043,0.056,0.077,0.046,0.031,0.012,0.055,0.038,0.019,0.075,0.061,0.051
DVU0170,0.031,0.04,0.052,0.034,0.053,0.044,0.089,0.032,0.062,0.092,0.1,0.047,0.011,0.041,0.061,0.018,0.078,0.057,0.057
DVU0171,0.02,0.056,0.032,0.031,0.059,0.077,0.093,0.044,0.048,0.092,0.082,0.038,0.012,0.049,0.053,0.017,0.079,0.059,0.058
DVU0172,0.024,0.043,0.036,0.023,0.056,0.112,0.103,0.037,0.041,0.112,0.055,0.045,0.005,0.041,0.06,0.017,0.078,0.057,0.055
DVU0173,0.026,0.058,0.033,0.029,0.065,0.08,0.096,0.044,0.044,0.092,0.072,0.04,0.011,0.055,0.046,0.014,0.079,0.058,0.057
DVU0174,0.022,0.066,0.022,0.059,0.081,0.015,0.044,0.044,0.044,0.059,0.081,0.051,0.022,0.044,0.088,0.044,0.091,0.049,0.074
DVU0175,0.024,0.052,0.036,0.032,0.063,0.084,0.09,0.042,0.049,0.091,0.072,0.039,0.008,0.053,0.052,0.022,0.078,0.055,0.058
DVU0176,0.022,0.061,0.019,0.028,0.057,0.105,0.098,0.045,0.044,0.091,0.066,0.04,0.005,0.048,0.059,0.018,0.079,0.056,0.059
DVU0177,0.027,0.053,0.04,0.022,0.061,0.096,0.099,0.05,0.045,0.101,0.057,0.034,0.008,0.056,0.042,0.021,0.076,0.058,0.052
DVU0179,0.015,0.041,0.04,0.02,0.046,0.063,0.103,0.045,0.048,0.104,0.099,0.052,0.008,0.048,0.061,0.019,0.077,0.056,0.056
DVU0180,0.023,0.053,0.023,0.031,0.051,0.072,0.099,0.047,0.05,0.093,0.089,0.037,0.006,0.051,0.057,0.026,0.077,0.057,0.055
DVU0181,0.008,0.035,0.021,0.03,0.05,0.072,0.09,0.061,0.029,0.105,0.102,0.044,0.007,0.061,0.067,0.029,0.076,0.058,0.054
DVU0182,0.043,0.072,0.044,0.037,0.071,0.072,0.077,0.048,0.065,0.066,0.051,0.029,0.016,0.058,0.04,0.019,0.077,0.06,0.058
DVU0183,0.037,0.053,0.053,0.039,0.076,0.064,0.088,0.031,0.06,0.099,0.065,0.027,0.009,0.042,0.045,0.017,0.079,0.059,0.056
DVU0184,0.049,0.028,0.035,0.063,0.047,0.028,0.037,0.037,0.041,0.056,0.08,0.063,0.039,0.037,0.088,0.052,0.088,0.065,0.065
DVU0186,0.051,0.05,0.044,0.034,0.057,0.076,0.067,0.054,0.056,0.076,0.046,0.042,0.014,0.052,0.065,0.028,0.076,0.057,0.054
DVU0187,0.031,0.05,0.031,0.041,0.061,0.064,0.071,0.063,0.047,0.076,0.058,0.038,0.015,0.068,0.06,0.031,0.077,0.062,0.054
DVU0188,0.033,0.033,0.071,0.049,0.044,0.044,0.071,0.022,0.104,0.066,0.115,0.038,0.005,0.038,0.066,0.016,0.071,0.052,0.06
DVU0189,0.033,0.048,0.047,0.028,0.05,0.068,0.089,0.052,0.062,0.091,0.061,0.04,0.012,0.052,0.057,0.021,0.076,0.058,0.056
DVU0190,0.034,0.052,0.03,0.064,0.064,0.041,0.056,0.045,0.052,0.064,0.049,0.037,0.026,0.049,0.071,0.06,0.085,0.059,0.063
DVU0191,0.023,0.041,0.042,0.02,0.055,0.085,0.088,0.048,0.04,0.108,0.087,0.041,0.009,0.042,0.058,0.023,0.075,0.057,0.057
DVU0192,0.028,0.05,0.036,0.035,0.047,0.061,0.08,0.051,0.059,0.083,0.084,0.041,0.014,0.045,0.068,0.024,0.078,0.059,0.057
DVU0193,0.049,0.048,0.067,0.03,0.058,0.056,0.067,0.048,0.076,0.092,0.066,0.03,0.011,0.032,0.064,0.02,0.074,0.055,0.059
DVU0194,0.032,0.046,0.044,0.035,0.055,0.069,0.083,0.044,0.053,0.09,0.069,0.039,0.018,0.046,0.054,0.027,0.079,0.058,0.059
DVU0195,0.051,0.037,0.04,0.044,0.044,0.022,0.069,0.048,0.048,0.077,0.08,0.044,0.029,0.048,0.058,0.058,0.08,0.055,0.068
DVU0196,0.039,0.055,0.039,0.021,0.053,0.074,0.09,0.051,0.045,0.09,0.055,0.043,0.016,0.049,0.049,0.039,0.077,0.058,0.055
DVU0197,0.018,0.044,0.039,0.023,0.055,0.082,0.09,0.052,0.042,0.098,0.086,0.041,0.01,0.055,0.051,0.026,0.075,0.058,0.054
DVU0198,0.025,0.045,0.045,0.026,0.053,0.096,0.094,0.044,0.054,0.11,0.075,0.027,0.009,0.036,0.052,0.022,0.075,0.058,0.054
DVU0199,0.023,0.046,0.031,0.034,0.059,0.084,0.115,0.04,0.04,0.105,0.059,0.04,0.01,0.063,0.04,0.015,0.081,0.06,0.055
DVU0200,0.029,0.053,0.047,0.02,0.048,0.097,0.091,0.06,0.058,0.09,0.062,0.032,0.012,0.056,0.043,0.022,0.072,0.055,0.054
DVU0201,0.036,0.051,0.046,0.018,0.033,0.102,0.087,0.044,0.072,0.09,0.087,0.038,0.01,0.023,0.067,0.015,0.071,0.058,0.051
DVU0202,0.023,0.033,0.03,0.018,0.038,0.072,0.085,0.067,0.035,0.096,0.072,0.06,0.008,0.06,0.077,0.038,0.075,0.056,0.057
DVU0203,0.013,0.037,0.027,0.031,0.046,0.08,0.095,0.061,0.041,0.108,0.077,0.038,0.007,0.056,0.067,0.027,0.077,0.057,0.056
DVU0204,0.02,0.051,0.043,0.028,0.053,0.085,0.09,0.047,0.053,0.096,0.073,0.041,0.016,0.043,0.057,0.01,0.079,0.057,0.058
DVU0205,0.024,0.049,0.049,0.015,0.039,0.073,0.097,0.049,0.063,0.092,0.068,0.058,0.01,0.044,0.068,0.015,0.077,0.058,0.054
DVU0206,0.036,0.04,0.056,0.034,0.049,0.063,0.082,0.044,0.066,0.077,0.089,0.042,0.015,0.059,0.047,0.014,0.074,0.054,0.059
DVU0207,0.02,0.05,0.047,0.025,0.062,0.075,0.08,0.052,0.055,0.102,0.072,0.037,0.005,0.042,0.067,0.02,0.075,0.059,0.055
DVU0208,0.015,0.061,0.029,0.026,0.048,0.096,0.102,0.055,0.058,0.089,0.067,0.035,0.01,0.055,0.051,0.013,0.076,0.058,0.056
DVU0209,0.021,0.056,0.056,0.021,0.06,0.124,0.077,0.043,0.064,0.103,0.056,0.03,0.004,0.021,0.068,0.013,0.073,0.053,0.057
DVU0210,0.024,0.056,0.033,0.026,0.063,0.088,0.086,0.047,0.04,0.103,0.075,0.037,0.013,0.037,0.06,0.015,0.08,0.061,0.056
DVU0211,0.031,0.049,0.06,0.024,0.064,0.044,0.104,0.033,0.058,0.098,0.08,0.047,0.011,0.055,0.038,0.013,0.079,0.058,0.053
DVU0212,0.025,0.06,0.057,0.025,0.066,0.091,0.069,0.047,0.063,0.082,0.063,0.038,0.009,0.041,0.06,0.022,0.074,0.06,0.048
DVU0213,0.034,0.043,0.048,0.031,0.054,0.05,0.083,0.044,0.053,0.09,0.094,0.042,0.015,0.048,0.055,0.021,0.077,0.06,0.057
DVU0214,0.008,0.04,0.033,0.023,0.04,0.087,0.111,0.042,0.043,0.109,0.08,0.05,0.013,0.044,0.058,0.022,0.08,0.058,0.058
DVU0215,0.021,0.04,0.046,0.028,0.053,0.073,0.102,0.037,0.052,0.109,0.083,0.042,0.009,0.043,0.056,0.014,0.078,0.058,0.055
DVU0216,0.014,0.06,0.034,0.022,0.057,0.087,0.101,0.043,0.051,0.089,0.093,0.038,0.008,0.052,0.043,0.02,0.075,0.058,0.053
DVU0217,0.019,0.045,0.033,0.012,0.038,0.079,0.099,0.058,0.046,0.11,0.098,0.043,0.005,0.041,0.067,0.024,0.072,0.061,0.05
DVU0218,0.013,0.039,0.036,0.021,0.046,0.089,0.102,0.042,0.039,0.112,0.095,0.047,0.01,0.04,0.061,0.016,0.077,0.06,0.056
DVU0219,0.019,0.043,0.034,0.024,0.049,0.094,0.09,0.049,0.04,0.115,0.089,0.035,0.01,0.031,0.067,0.018,0.077,0.056,0.059
DVU0220,0.033,0.062,0.036,0.027,0.07,0.071,0.089,0.038,0.041,0.094,0.081,0.036,0.014,0.04,0.047,0.025,0.08,0.063,0.053
DVU0221,0.023,0.047,0.036,0.036,0.056,0.09,0.079,0.04,0.045,0.103,0.078,0.032,0.016,0.025,0.067,0.025,0.08,0.064,0.056
DVU0222,0.019,0.041,0.048,0.029,0.055,0.065,0.079,0.048,0.036,0.113,0.065,0.046,0.029,0.029,0.067,0.022,0.087,0.056,0.066
DVU0223,0.139,0.067,0.063,0.036,0.058,0.027,0.049,0.031,0.076,0.027,0.089,0.036,0.031,0.045,0.027,0.013,0.07,0.06,0.056
DVU0224,0.039,0.047,0.049,0.033,0.043,0.053,0.077,0.067,0.055,0.079,0.059,0.039,0.031,0.061,0.047,0.026,0.078,0.061,0.056
DVU0225,0.082,0.064,0.023,0.05,0.059,0.014,0.041,0.05,0.041,0.041,0.068,0.036,0.032,0.046,0.059,0.096,0.079,0.059,0.061
DVU0226,0.045,0.048,0.051,0.04,0.066,0.06,0.067,0.036,0.048,0.08,0.077,0.038,0.025,0.041,0.048,0.029,0.08,0.061,0.06
DVU0227,0.076,0.07,0.045,0.054,0.061,0.039,0.049,0.039,0.072,0.046,0.037,0.03,0.036,0.033,0.054,0.051,0.083,0.063,0.06
DVU0228,0.024,0.065,0,0.057,0.057,0.073,0.09,0.073,0.049,0.09,0.049,0.008,0.016,0.065,0.057,0.024,0.083,0.067,0.052
DVU0229,0.102,0.049,0.022,0.04,0.036,0.018,0.031,0.058,0.013,0.049,0.053,0.044,0.067,0.027,0.053,0.12,0.084,0.066,0.068
DVU0230,0.026,0.033,0.054,0.04,0.059,0.052,0.087,0.047,0.052,0.102,0.064,0.04,0.014,0.057,0.055,0.022,0.079,0.057,0.061
DVU0231,0.032,0.036,0.054,0.04,0.061,0.054,0.072,0.047,0.058,0.105,0.076,0.032,0.011,0.04,0.069,0.022,0.077,0.054,0.061
DVU0232,0.039,0.029,0.065,0.039,0.058,0.029,0.055,0.045,0.058,0.104,0.084,0.039,0.016,0.026,0.081,0.036,0.078,0.059,0.058
DVU0233,0.038,0.035,0.06,0.046,0.057,0.06,0.06,0.052,0.065,0.054,0.068,0.027,0.022,0.079,0.027,0.071,0.067,0.057,0.055
DVU0234,0.017,0.05,0.075,0.037,0.075,0.042,0.077,0.032,0.067,0.082,0.082,0.042,0.017,0.052,0.042,0.012,0.08,0.055,0.058
DVU0235,0.026,0.046,0.037,0.043,0.05,0.063,0.084,0.053,0.062,0.092,0.067,0.032,0.014,0.05,0.063,0.024,0.079,0.057,0.057
DVU0236,0.031,0.05,0.049,0.033,0.06,0.067,0.065,0.062,0.052,0.083,0.065,0.034,0.019,0.055,0.055,0.032,0.076,0.058,0.056
DVU0237,0.041,0.055,0.045,0.027,0.059,0.075,0.083,0.05,0.057,0.084,0.063,0.033,0.011,0.053,0.046,0.03,0.073,0.058,0.056
DVU0238,0.035,0.058,0.029,0.035,0.056,0.104,0.089,0.046,0.054,0.085,0.048,0.029,0.012,0.048,0.05,0.029,0.076,0.056,0.061
DVU0239,0.088,0.061,0.037,0.044,0.078,0.047,0.037,0.041,0.027,0.054,0.051,0.037,0.041,0.041,0.041,0.074,0.082,0.058,0.06
DVU0240,0.037,0.058,0.034,0.042,0.061,0.055,0.079,0.044,0.06,0.066,0.052,0.045,0.015,0.06,0.057,0.039,0.079,0.06,0.058
DVU0241,0.043,0.034,0.043,0.039,0.06,0.051,0.081,0.039,0.047,0.101,0.071,0.047,0.009,0.045,0.071,0.028,0.08,0.061,0.053
DVU0242,0.031,0.051,0.05,0.023,0.041,0.066,0.093,0.046,0.063,0.093,0.076,0.043,0.02,0.036,0.056,0.018,0.079,0.054,0.059
DVU0243,0.019,0.035,0.05,0.032,0.045,0.062,0.078,0.044,0.059,0.087,0.097,0.053,0.012,0.044,0.073,0.021,0.076,0.059,0.055
DVU0244,0.02,0.051,0.031,0.024,0.054,0.081,0.108,0.04,0.041,0.112,0.085,0.038,0.011,0.04,0.052,0.015,0.081,0.058,0.058
DVU0245,0.019,0.055,0.028,0.02,0.047,0.097,0.101,0.059,0.048,0.098,0.071,0.037,0.007,0.054,0.054,0.02,0.075,0.055,0.056
DVU0246,0.018,0.058,0.026,0.023,0.056,0.1,0.11,0.049,0.043,0.097,0.066,0.04,0.008,0.06,0.044,0.014,0.078,0.058,0.054
DVU0247,0.031,0.054,0.049,0.047,0.056,0.047,0.096,0.038,0.076,0.083,0.067,0.033,0.018,0.054,0.047,0.007,0.081,0.059,0.058
DVU0249,0.028,0.058,0.033,0.03,0.054,0.103,0.093,0.05,0.053,0.085,0.06,0.029,0.015,0.053,0.041,0.024,0.075,0.057,0.058
DVU0250,0.028,0.054,0.029,0.034,0.061,0.079,0.087,0.058,0.043,0.09,0.061,0.032,0.014,0.062,0.048,0.032,0.078,0.059,0.055
DVU0251,0.028,0.038,0.031,0.029,0.053,0.086,0.081,0.074,0.03,0.081,0.064,0.047,0.014,0.09,0.046,0.025,0.074,0.059,0.052
DVU0252,0.085,0.078,0.043,0.035,0.074,0.062,0.035,0.047,0.062,0.043,0.047,0.031,0.019,0.035,0.058,0.058,0.074,0.057,0.058
DVU0253,0.033,0.058,0.038,0.028,0.064,0.079,0.089,0.05,0.05,0.088,0.062,0.037,0.01,0.056,0.048,0.021,0.077,0.058,0.056
DVU0254,0.039,0.055,0.05,0.05,0.055,0.072,0.072,0.033,0.078,0.072,0.055,0.028,0.017,0.033,0.061,0.039,0.077,0.059,0.054
DVU0255,0.017,0.052,0.036,0.029,0.047,0.058,0.086,0.044,0.055,0.074,0.077,0.061,0.015,0.049,0.07,0.035,0.081,0.055,0.058
DVU0256,0.023,0.061,0.035,0.026,0.061,0.085,0.097,0.046,0.048,0.097,0.067,0.035,0.012,0.046,0.049,0.02,0.079,0.058,0.057
DVU0257,0.015,0.041,0.048,0.046,0.052,0.04,0.067,0.048,0.057,0.074,0.088,0.045,0.028,0.052,0.06,0.038,0.081,0.059,0.061
DVU0258,0.032,0.061,0.046,0.031,0.066,0.062,0.09,0.043,0.062,0.08,0.061,0.039,0.01,0.057,0.045,0.023,0.077,0.061,0.053
DVU0259,0.05,0.064,0.039,0.039,0.056,0.07,0.095,0.037,0.064,0.056,0.05,0.041,0.021,0.068,0.029,0.025,0.078,0.061,0.056
DVU0260,0.032,0.054,0.028,0.036,0.046,0.068,0.103,0.046,0.06,0.099,0.08,0.03,0.012,0.042,0.058,0.01,0.08,0.057,0.056
DVU0261,0.041,0.052,0.053,0.027,0.067,0.067,0.083,0.047,0.05,0.079,0.059,0.046,0.014,0.067,0.04,0.02,0.075,0.057,0.056
DVU0262,0.018,0.051,0.032,0.029,0.045,0.055,0.092,0.06,0.055,0.089,0.092,0.039,0.012,0.057,0.06,0.022,0.076,0.057,0.058
DVU0263,0.047,0.064,0.04,0.021,0.068,0.096,0.087,0.047,0.043,0.1,0.043,0.034,0.013,0.038,0.051,0.017,0.079,0.061,0.053
DVU0264,0.037,0.056,0.042,0.041,0.076,0.064,0.077,0.041,0.05,0.086,0.069,0.035,0.012,0.052,0.052,0.013,0.08,0.059,0.059
DVU0265,0.016,0.044,0.02,0.033,0.053,0.072,0.083,0.067,0.031,0.102,0.076,0.037,0.013,0.058,0.066,0.037,0.079,0.057,0.057
DVU0266,0.021,0.059,0.034,0.025,0.061,0.071,0.092,0.045,0.047,0.078,0.079,0.051,0.01,0.059,0.052,0.028,0.078,0.059,0.053
DVU0267,0.051,0.056,0.03,0.066,0.071,0.04,0.056,0.03,0.045,0.066,0.066,0.035,0.035,0.035,0.061,0.04,0.09,0.058,0.069
DVU0268,0.074,0.006,0.046,0.063,0.046,0.011,0.023,0.023,0.051,0.04,0.04,0.091,0.023,0.046,0.114,0.103,0.081,0.061,0.06
DVU0269,0.029,0.052,0.041,0.036,0.049,0.057,0.081,0.044,0.065,0.084,0.079,0.041,0.013,0.037,0.07,0.029,0.078,0.058,0.059
DVU0270,0.033,0.051,0.041,0.033,0.063,0.061,0.094,0.038,0.052,0.085,0.075,0.044,0.01,0.059,0.046,0.024,0.078,0.058,0.056
DVU0271,0.021,0.045,0.031,0.024,0.039,0.057,0.099,0.048,0.054,0.101,0.097,0.048,0.007,0.039,0.075,0.023,0.078,0.058,0.056
DVU0272,0.043,0.069,0,0.026,0.043,0.095,0.077,0.043,0.06,0.043,0.086,0.06,0,0.052,0.077,0.043,0.074,0.054,0.056
DVU0273,0.03,0.055,0.036,0.029,0.049,0.069,0.087,0.048,0.056,0.074,0.077,0.048,0.014,0.054,0.055,0.028,0.077,0.058,0.055
DVU0274,0.049,0.056,0.065,0.025,0.047,0.083,0.08,0.045,0.092,0.065,0.065,0.029,0.007,0.051,0.04,0.031,0.064,0.054,0.053
DVU0275,0.024,0.06,0.031,0.029,0.066,0.104,0.09,0.056,0.041,0.095,0.043,0.031,0.014,0.057,0.045,0.019,0.079,0.057,0.058
DVU0276,0.037,0.059,0.029,0.031,0.069,0.086,0.077,0.055,0.045,0.09,0.063,0.033,0.004,0.053,0.061,0.02,0.075,0.057,0.057
DVU0277,0.021,0.038,0.038,0.047,0.051,0.066,0.074,0.043,0.051,0.081,0.075,0.05,0.02,0.049,0.071,0.025,0.083,0.06,0.057
DVU0278,0.029,0.058,0.033,0.029,0.058,0.089,0.083,0.056,0.054,0.083,0.068,0.033,0.008,0.056,0.054,0.025,0.074,0.056,0.054
DVU0279,0.019,0.048,0.029,0.034,0.058,0.067,0.083,0.052,0.042,0.084,0.072,0.048,0.011,0.061,0.063,0.033,0.079,0.059,0.056
DVU0280,0.025,0.05,0.035,0.038,0.059,0.074,0.087,0.047,0.051,0.086,0.064,0.04,0.013,0.057,0.055,0.024,0.079,0.058,0.056
DVU0281,0.022,0.057,0.025,0.037,0.059,0.079,0.087,0.059,0.042,0.082,0.045,0.038,0.018,0.066,0.051,0.035,0.081,0.059,0.058
DVU0282,0.026,0.056,0.032,0.039,0.062,0.092,0.086,0.047,0.049,0.092,0.057,0.03,0.015,0.047,0.054,0.019,0.08,0.06,0.057
DVU0283,0.033,0.055,0.04,0.024,0.059,0.074,0.102,0.041,0.047,0.092,0.072,0.044,0.012,0.055,0.042,0.018,0.078,0.057,0.057
DVU0284,0.035,0.07,0.045,0.032,0.067,0.072,0.077,0.043,0.066,0.064,0.056,0.04,0.013,0.053,0.05,0.027,0.077,0.058,0.055
DVU0285,0.02,0.049,0.043,0.035,0.068,0.078,0.079,0.043,0.045,0.089,0.084,0.039,0.014,0.051,0.051,0.016,0.077,0.061,0.057
DVU0286,0.027,0.046,0.038,0.046,0.057,0.056,0.09,0.036,0.054,0.079,0.082,0.046,0.017,0.058,0.052,0.012,0.082,0.059,0.06
DVU4017,0.065,0.029,0.056,0.063,0.058,0.017,0.041,0.035,0.055,0.05,0.043,0.053,0.035,0.055,0.062,0.081,0.081,0.06,0.062
DVU0289,0.035,0.064,0.04,0.032,0.07,0.093,0.099,0.035,0.057,0.088,0.067,0.027,0.009,0.052,0.034,0.009,0.077,0.057,0.054
DVU0290,0.033,0.07,0.033,0.027,0.066,0.092,0.089,0.047,0.052,0.09,0.049,0.036,0.012,0.041,0.056,0.015,0.08,0.062,0.05
DVU0291,0.014,0.059,0.027,0.022,0.048,0.083,0.105,0.051,0.048,0.098,0.074,0.04,0.013,0.046,0.054,0.026,0.08,0.057,0.057
DVU0292,0.018,0.07,0.026,0.024,0.055,0.087,0.104,0.047,0.049,0.091,0.051,0.042,0.014,0.046,0.053,0.025,0.083,0.059,0.058
DVU0293,0.052,0.047,0.05,0.038,0.043,0.078,0.09,0.043,0.076,0.083,0.05,0.035,0.014,0.045,0.057,0.007,0.077,0.058,0.059
DVU0294,0.016,0.044,0.025,0.022,0.046,0.076,0.102,0.049,0.036,0.111,0.075,0.052,0.009,0.041,0.072,0.027,0.081,0.057,0.059
DVU0295,0.025,0.047,0.034,0.036,0.052,0.057,0.094,0.042,0.049,0.09,0.083,0.043,0.017,0.05,0.055,0.026,0.081,0.057,0.061
DVU0296,0.03,0.056,0.029,0.033,0.053,0.071,0.104,0.041,0.053,0.092,0.068,0.038,0.011,0.05,0.051,0.021,0.08,0.059,0.057
DVU0297,0.012,0.046,0.025,0.03,0.055,0.099,0.09,0.051,0.032,0.09,0.044,0.058,0.014,0.06,0.067,0.028,0.083,0.056,0.059
DVU0298,0.025,0.034,0.034,0.04,0.046,0.054,0.083,0.042,0.051,0.094,0.096,0.047,0.01,0.044,0.075,0.031,0.079,0.058,0.056
DVU4004,0.055,0.045,0.035,0.055,0.07,0.025,0.07,0.045,0.03,0.08,0.085,0.04,0.03,0.06,0.05,0.015,0.086,0.063,0.063
DVU0299,0.039,0.068,0.041,0.028,0.065,0.072,0.087,0.052,0.054,0.077,0.057,0.033,0.017,0.059,0.037,0.022,0.077,0.058,0.058
DVU0300,0.037,0.046,0.039,0.032,0.052,0.074,0.083,0.061,0.052,0.09,0.064,0.032,0.013,0.058,0.053,0.026,0.075,0.055,0.057
DVU0301,0.07,0.032,0.032,0.064,0.048,0.059,0.032,0.059,0.043,0.059,0.027,0.032,0.038,0.048,0.07,0.086,0.08,0.056,0.063
DVU0302,0.04,0.055,0.047,0.047,0.09,0.069,0.069,0.028,0.045,0.064,0.071,0.041,0.012,0.067,0.036,0.026,0.078,0.063,0.052
DVU0303,0.031,0.041,0.066,0.036,0.074,0.082,0.059,0.046,0.054,0.1,0.064,0.026,0.013,0.038,0.056,0.026,0.074,0.055,0.06
DVU0304,0.049,0.068,0.037,0.026,0.071,0.046,0.088,0.043,0.049,0.071,0.051,0.063,0.011,0.063,0.057,0.009,0.083,0.055,0.06
DVU0305,0.049,0.029,0.066,0.058,0.058,0.07,0.053,0.029,0.066,0.066,0.049,0.049,0.025,0.045,0.066,0.021,0.08,0.057,0.065
DVU0306,0.024,0.032,0.048,0.025,0.044,0.048,0.095,0.049,0.053,0.117,0.096,0.04,0.008,0.038,0.067,0.032,0.075,0.055,0.055
DVU0307,0.032,0.065,0.041,0.029,0.077,0.062,0.08,0.038,0.047,0.086,0.089,0.036,0.011,0.044,0.047,0.023,0.078,0.062,0.055
DVU0308,0.011,0.05,0.022,0.039,0.055,0.085,0.083,0.07,0.035,0.079,0.035,0.044,0.02,0.079,0.054,0.039,0.082,0.059,0.058
DVU0309,0.013,0.035,0.04,0.019,0.035,0.065,0.093,0.052,0.047,0.107,0.121,0.047,0.011,0.038,0.068,0.021,0.074,0.058,0.055
DVU0310,0.022,0.053,0.028,0.029,0.06,0.096,0.096,0.045,0.044,0.094,0.077,0.037,0.006,0.055,0.05,0.019,0.076,0.06,0.053
DVU0311,0.026,0.047,0.045,0.031,0.047,0.075,0.106,0.031,0.069,0.099,0.084,0.038,0.008,0.038,0.055,0.011,0.078,0.058,0.054
DVU0312,0.051,0.043,0.055,0.035,0.058,0.071,0.089,0.038,0.07,0.083,0.066,0.036,0.006,0.059,0.045,0.012,0.073,0.057,0.055
DVU0313,0.042,0.054,0.056,0.027,0.07,0.069,0.082,0.047,0.056,0.087,0.062,0.036,0.01,0.059,0.041,0.016,0.074,0.058,0.053
DVU0314,0.041,0.056,0.068,0.034,0.08,0.07,0.065,0.046,0.065,0.08,0.051,0.032,0.01,0.056,0.046,0.012,0.074,0.057,0.057
DVU0315,0.035,0.069,0.038,0.035,0.068,0.08,0.093,0.033,0.057,0.084,0.059,0.035,0.016,0.04,0.046,0.011,0.083,0.059,0.059
DVU0316,0.061,0.05,0.059,0.04,0.077,0.057,0.069,0.032,0.063,0.071,0.061,0.042,0.008,0.057,0.048,0.016,0.075,0.057,0.056
DVU0317,0.07,0.059,0.053,0.041,0.094,0.064,0.047,0.041,0.047,0.1,0.035,0.006,0.018,0.023,0.053,0.053,0.08,0.057,0.06
DVU0318,0.036,0.046,0.039,0.039,0.049,0.07,0.087,0.053,0.054,0.084,0.067,0.036,0.019,0.059,0.05,0.019,0.078,0.059,0.058
DVU0319,0.024,0.064,0.035,0.019,0.061,0.074,0.103,0.052,0.043,0.095,0.057,0.043,0.013,0.056,0.045,0.022,0.08,0.059,0.056
DVU0320,0.019,0.065,0.019,0.019,0.046,0.117,0.12,0.049,0.046,0.111,0.028,0.04,0.006,0.04,0.062,0.015,0.081,0.061,0.055
DVU0321,0.021,0.049,0.027,0.022,0.042,0.071,0.103,0.052,0.048,0.095,0.064,0.051,0.007,0.052,0.066,0.039,0.078,0.06,0.054
DVU0322,0.033,0.057,0.04,0.032,0.06,0.086,0.095,0.048,0.058,0.084,0.064,0.03,0.01,0.062,0.038,0.017,0.075,0.061,0.051
DVU0323,0.024,0.049,0.028,0.024,0.047,0.096,0.102,0.044,0.042,0.094,0.075,0.049,0.01,0.05,0.056,0.019,0.078,0.059,0.054
DVU0324,0.008,0.025,0.008,0.033,0.017,0.149,0.083,0.083,0.025,0.099,0.017,0.05,0.033,0.058,0.074,0.05,0.081,0.056,0.053
DVU0325,0.027,0.043,0.03,0.029,0.054,0.07,0.092,0.047,0.038,0.092,0.075,0.053,0.011,0.058,0.06,0.023,0.079,0.058,0.058
DVU0326,0.018,0.048,0.037,0.029,0.055,0.078,0.095,0.049,0.051,0.093,0.082,0.041,0.008,0.058,0.053,0.018,0.076,0.058,0.054
DVU0327,0.025,0.055,0.027,0.033,0.056,0.079,0.092,0.054,0.043,0.081,0.057,0.046,0.015,0.066,0.052,0.021,0.08,0.059,0.057
DVU0328,0.021,0.044,0.038,0.03,0.063,0.095,0.098,0.035,0.042,0.097,0.071,0.044,0.007,0.056,0.047,0.021,0.077,0.057,0.056
DVU0329,0.007,0.034,0.041,0.034,0.088,0.068,0.054,0.054,0.027,0.116,0.102,0.034,0,0.048,0.075,0.027,0.074,0.064,0.053
DVU0330,0.019,0.061,0.028,0.029,0.065,0.086,0.09,0.051,0.043,0.094,0.061,0.036,0.01,0.05,0.056,0.025,0.08,0.058,0.057
DVU0331,0.025,0.058,0.034,0.031,0.063,0.083,0.098,0.047,0.052,0.094,0.064,0.032,0.008,0.057,0.046,0.019,0.077,0.059,0.054
DVU0332,0.031,0.036,0.051,0.031,0.061,0.087,0.072,0.031,0.051,0.092,0.046,0.056,0.01,0.036,0.077,0.041,0.081,0.056,0.054
DVU0333,0.02,0.056,0.027,0.034,0.061,0.083,0.096,0.039,0.041,0.099,0.091,0.033,0.015,0.041,0.05,0.013,0.081,0.059,0.06
