C3s,A3s,G3s,CAI,CBI,Fop,Nc,GC3s,GC,L_sym,L_aa,Gravy,Aromo,X
DVU0224,0.4352,0.1827,0.3636,0.267,0.19,0.512,57.1,0.654,0.59,127,131,-0.241985,0.068702,NA
DVU0225,0.3778,0.4595,0.2286,0.195,-0.025,0.404,46.19,0.481,0.443,52,58,0.346552,0.206897,NA
DVU0226,0.4983,0.2048,0.3321,0.247,0.075,0.469,49.81,0.673,0.592,358,379,-0.183905,0.087071,NA
DVU0227,0.4286,0.3333,0.2692,0.238,0.125,0.497,61,0.527,0.473,167,176,-0.622727,0.096591,NA
DVU0228,0.5,0.12,0.3333,0.235,0.25,0.567,NA,0.733,0.615,30,32,0.890625,0.03125,NA
DVU0229,0.28,0.3333,0.2571,0.182,0.091,0.464,34.28,0.411,0.391,56,58,0.134483,0.137931,NA
DVU0230,0.4961,0.1628,0.3866,0.212,0.105,0.473,46.08,0.736,0.628,148,154,-0.032468,0.032468,NA
DVU0231,0.377,0.1754,0.4464,0.152,-0.032,0.386,50.51,0.686,0.626,70,74,-0.435135,0.013514,NA
DVU0232,0.4688,0.2131,0.3276,0.334,0.189,0.545,52.45,0.636,0.589,77,82,-0.213415,0.097561,NA
DVU0233,0.4321,0.2375,0.3288,0.169,0.016,0.408,60.11,0.602,0.54,98,100,0.024,0.09,NA
DVU0234,0.4651,0.1395,0.4937,0.206,0.09,0.471,46.52,0.76,0.626,104,107,-0.620561,0.056075,NA
DVU0235,0.5033,0.1643,0.3258,0.231,0.1,0.48,48.81,0.686,0.626,175,187,-0.326203,0.069519,NA
DVU0236,0.476,0.1242,0.3908,0.225,0.104,0.478,47.39,0.714,0.603,364,380,-0.434737,0.078947,NA
DVU0237,0.6029,0.128,0.3526,0.271,0.196,0.529,37.61,0.772,0.62,408,424,-0.386557,0.084906,NA
DVU0238,0.6262,0.1735,0.2283,0.251,0.306,0.583,42.96,0.733,0.633,120,129,-0.389923,0.077519,NA
DVU0239,0.2899,0.3793,0.2593,0.228,0.002,0.429,58.15,0.442,0.47,77,78,-0.503846,0.153846,NA
DVU0240,0.4964,0.188,0.3455,0.266,0.199,0.532,52.56,0.671,0.576,158,165,-0.291515,0.115152,NA
DVU0241,0.5354,0.1443,0.3587,0.374,0.293,0.587,35.47,0.711,0.619,121,125,-0.1504,0.04,NA
DVU0242,0.608,0.1102,0.3729,0.274,0.188,0.536,38.92,0.784,0.648,153,162,-0.78642,0.092593,NA
DVU0243,0.3989,0.082,0.5314,0.232,0.095,0.455,40.76,0.779,0.649,213,222,-0.136036,0.063063,NA
DVU0244,0.4776,0.1417,0.412,0.226,0.142,0.491,42.1,0.78,0.697,273,285,-0.105263,0.049123,NA
DVU0245,0.528,0.1395,0.3695,0.207,0.098,0.456,42.41,0.775,0.685,360,369,-0.111111,0.054201,NA
DVU0246,0.6191,0.1137,0.3454,0.254,0.243,0.547,35.51,0.842,0.692,722,744,-0.00672,0.052419,NA
DVU0247,0.5914,0.1053,0.4824,0.246,0.058,0.435,31.66,0.835,0.619,115,119,-0.195798,0.02521,NA
DVU0249,0.6509,0.1216,0.3347,0.282,0.263,0.564,35.42,0.822,0.651,314,323,-0.080186,0.071207,NA
DVU0250,0.6048,0.1277,0.3769,0.309,0.326,0.601,39.16,0.82,0.629,183,195,0.104616,0.107692,NA
DVU0251,0.7527,0.0428,0.329,0.362,0.342,0.612,25.8,0.922,0.633,307,320,0.711875,0.134375,NA
DVU0252,0.3704,0.3958,0.2979,0.179,-0.009,0.415,46.34,0.523,0.498,65,69,-0.469565,0.057971,NA
DVU0253,0.6501,0.1033,0.3702,0.304,0.279,0.577,34.63,0.837,0.64,910,941,-0.072795,0.071201,NA
DVU0254,0.3902,0.3235,0.2424,0.119,-0.084,0.364,50.27,0.545,0.583,44,48,-0.760417,0.0625,NA
DVU0255,0.3774,0.1329,0.4964,0.208,0.065,0.455,43.43,0.725,0.625,178,184,-0.067935,0.076087,NA
DVU0256,0.5404,0.1372,0.391,0.262,0.223,0.539,39.93,0.784,0.664,1087,1121,-0.28653,0.062444,NA
DVU0257,0.384,0.1652,0.4685,0.205,0.065,0.444,52.61,0.694,0.589,144,154,-0.088312,0.097403,NA
DVU0258,0.6224,0.1426,0.3382,0.278,0.208,0.537,39.83,0.776,0.622,637,657,-0.307458,0.053272,NA
DVU0259,0.6571,0.1458,0.3488,0.243,0.243,0.548,37.95,0.798,0.587,124,129,-0.299225,0.069767,NA
DVU0260,0.5044,0.1981,0.3922,0.232,0.186,0.508,43.05,0.77,0.664,126,133,0.135338,0.045113,NA
DVU0261,0.6449,0.1453,0.3545,0.261,0.175,0.524,37.14,0.797,0.615,296,308,-0.167533,0.087662,NA
DVU0262,0.5031,0.1329,0.4412,0.252,0.244,0.547,42.83,0.782,0.656,179,184,0.0375,0.070652,NA
DVU0263,0.6571,0.1333,0.3068,0.363,0.266,0.585,38.15,0.78,0.643,123,126,-0.389683,0.039683,NA
DVU0264,0.7043,0.1406,0.3559,0.336,0.312,0.6,34.89,0.837,0.621,410,439,-0.196355,0.079727,NA
DVU0265,0.5714,0.0881,0.4067,0.257,0.221,0.535,34.7,0.845,0.647,200,219,0.740183,0.136986,NA
DVU0266,0.6257,0.1077,0.3369,0.299,0.267,0.574,41.51,0.805,0.646,390,418,-0.148086,0.131579,NA
DVU0267,0.2889,0.375,0.2564,0.178,-0.151,0.34,54.17,0.46,0.529,50,51,-0.166667,0.039216,NA
DVU0268,0.1892,0.2778,0.3235,0.195,0.015,0.386,31.68,0.409,0.406,44,46,0.328261,0.086957,NA
DVU0269,0.4815,0.152,0.4202,0.219,0.105,0.471,47.07,0.732,0.622,157,165,-0.14,0.048485,NA
DVU0270,0.5547,0.1104,0.4478,0.26,0.202,0.53,40.26,0.809,0.634,734,756,-0.234788,0.066138,NA
DVU0271,0.4005,0.1335,0.4268,0.232,0.141,0.484,45.84,0.72,0.673,479,496,0.035484,0.028226,NA
DVU0272,0.4286,0.2273,0.3182,0.29,0.291,0.586,29.83,0.655,0.624,29,31,-0.390323,0.096774,NA
DVU0273,0.5929,0.0992,0.3429,0.298,0.21,0.549,39.94,0.781,0.627,475,505,-0.15802,0.10099,NA
DVU0274,0.6705,0.2165,0.2935,0.274,0.204,0.534,37.86,0.729,0.61,118,123,-0.349594,0.073171,NA
DVU0275,0.67,0.0947,0.3312,0.262,0.236,0.547,35.95,0.843,0.654,223,231,-0.114286,0.073593,NA
DVU0276,0.5596,0.17,0.3333,0.324,0.345,0.613,43.87,0.75,0.639,124,132,0.047727,0.045455,NA
DVU0277,0.4337,0.1458,0.3668,0.236,0.094,0.466,45.52,0.668,0.615,307,326,-0.202454,0.082822,NA
DVU0278,0.5748,0.213,0.2115,0.194,0.083,0.456,43.02,0.699,0.643,136,140,0.025714,0.071429,NA
DVU0279,0.5193,0.0893,0.4252,0.251,0.178,0.506,41.88,0.798,0.63,545,568,0.577112,0.077465,NA
DVU0280,0.5854,0.147,0.3574,0.242,0.179,0.514,43.76,0.771,0.631,362,379,-0.235884,0.094987,NA
DVU0281,0.5511,0.1507,0.3147,0.246,0.225,0.527,44.78,0.739,0.612,459,479,0.19833,0.093946,NA
DVU0282,0.5912,0.1661,0.3092,0.29,0.23,0.542,37.58,0.751,0.643,358,373,-0.204022,0.091153,NA
DVU0283,0.5865,0.1434,0.377,0.259,0.186,0.523,39.07,0.803,0.657,646,661,-0.185023,0.068079,NA
DVU0284,0.6889,0.0678,0.3761,0.374,0.28,0.587,35.09,0.838,0.601,160,168,-0.234524,0.083333,NA
DVU0285,0.5989,0.0745,0.449,0.331,0.33,0.607,36.05,0.835,0.654,206,213,-0.047887,0.084507,NA
DVU0286,0.6111,0.0743,0.4157,0.303,0.229,0.557,35.91,0.837,0.629,246,259,0.096139,0.065637,NA
DVU4017,0.2312,0.2516,0.4375,0.199,-0.149,0.345,57.5,0.482,0.443,220,228,-0.257018,0.122807,NA
DVU0289,0.6744,0.1257,0.3439,0.25,0.158,0.517,33.57,0.846,0.662,201,208,-0.214904,0.028846,NA
DVU0290,0.578,0.1069,0.3766,0.289,0.237,0.546,39.54,0.806,0.645,196,202,-0.361386,0.054455,NA
DVU0291,0.489,0.1517,0.3649,0.22,0.111,0.46,44.11,0.749,0.677,346,354,0.15791,0.045198,NA
DVU0292,0.5621,0.1408,0.3234,0.279,0.2,0.522,42.93,0.753,0.658,356,368,-0.322011,0.084239,NA
DVU0293,0.6047,0.1778,0.3256,0.327,0.279,0.578,40.66,0.734,0.619,109,113,-0.555752,0.035398,NA
DVU0294,0.449,0.129,0.375,0.249,0.184,0.515,43.35,0.72,0.681,685,714,0.00056,0.061625,NA
DVU0295,0.5474,0.0712,0.4739,0.242,0.172,0.513,37.22,0.828,0.638,419,449,-0.258575,0.109131,NA
DVU0296,0.6246,0.1141,0.3806,0.329,0.311,0.598,35.83,0.82,0.651,338,356,-0.29382,0.087079,NA
DVU0297,0.4314,0.1209,0.3933,0.246,0.157,0.477,43.4,0.712,0.652,111,115,-0.061739,0.052174,NA
DVU0298,0.3716,0.1373,0.4588,0.246,0.075,0.457,44.87,0.688,0.639,247,261,-0.119924,0.061303,NA
DVU4004,0.4878,0.2432,0.2941,0.298,0.34,0.646,61,0.625,0.571,48,52,-1.059615,0.134615,NA
DVU0299,0.6715,0.0887,0.4181,0.32,0.307,0.598,34.24,0.856,0.616,659,681,-0.408223,0.104258,NA
DVU0300,0.5073,0.1684,0.3315,0.254,0.202,0.532,48,0.698,0.626,235,245,-0.286122,0.077551,NA
DVU0301,0.2619,0.3714,0.303,0.16,0.032,0.391,60.84,0.457,0.456,46,49,0.165306,0.122449,NA
DVU0302,0.68,0.1008,0.3524,0.295,0.2,0.544,40.46,0.83,0.594,147,155,0.209032,0.051613,NA
DVU0303,0.4943,0.2235,0.3038,0.241,0.175,0.52,40.99,0.67,0.625,100,105,0.041905,0.038095,NA
DVU0304,0.6154,0.0746,0.4516,0.326,0.279,0.584,34.58,0.854,0.606,89,93,-0.170968,0.053763,NA
DVU0305,0.6512,0.2766,0.2791,0.29,0.132,0.517,48.47,0.667,0.557,60,64,-0.203125,0.078125,NA
DVU0306,0.4226,0.0904,0.5031,0.204,0.056,0.444,45.16,0.773,0.665,198,205,-0.147317,0.053659,NA
DVU0307,0.5704,0.0947,0.4201,0.287,0.221,0.564,39.43,0.826,0.638,472,498,-0.242369,0.074297,NA
DVU0308,0.6328,0.1143,0.2857,0.249,0.249,0.53,39.18,0.813,0.609,134,144,0.869444,0.138889,NA
DVU0309,0.4008,0.1063,0.494,0.224,0.153,0.486,43.28,0.781,0.699,292,306,0.046405,0.078431,NA
DVU0310,0.6596,0.0836,0.3467,0.284,0.301,0.581,32.58,0.861,0.677,418,437,0.072769,0.05492,NA
DVU0311,0.5859,0.1512,0.3535,0.252,0.144,0.502,41.58,0.785,0.679,237,250,-0.3536,0.044,NA
DVU0312,0.6599,0.1314,0.4102,0.274,0.217,0.536,34.65,0.84,0.625,319,338,-0.23284,0.029586,NA
DVU0313,0.6815,0.1106,0.384,0.319,0.306,0.589,34.37,0.851,0.627,523,538,-0.196654,0.063197,NA
DVU0314,0.6582,0.0659,0.4535,0.333,0.139,0.519,28.3,0.875,0.607,104,111,-0.273874,0.054054,NA
DVU0315,0.7018,0.0648,0.3824,0.311,0.224,0.556,32.27,0.881,0.639,135,145,-0.435862,0.062069,NA
DVU0316,0.6667,0.0784,0.4792,0.312,0.187,0.532,36.9,0.857,0.586,126,136,-0.542647,0.066176,NA
DVU0317,0.3947,0.3784,0.1667,0.168,-0.167,0.349,42.2,0.488,0.541,43,45,-0.326667,0.066667,NA
DVU0318,0.5414,0.1329,0.3406,0.256,0.112,0.478,38.18,0.725,0.624,182,187,-0.019786,0.069519,NA
DVU0319,0.6879,0.072,0.3872,0.359,0.349,0.62,32.06,0.886,0.656,334,341,-0.064223,0.105572,NA
DVU0320,0.6329,0.087,0.25,0.347,0.393,0.635,32.61,0.788,0.702,85,86,-0.344186,0.023256,NA
DVU0321,0.4937,0.0913,0.3911,0.248,0.218,0.527,45.26,0.764,0.651,258,262,0.2,0.064885,NA
DVU0322,0.7521,0.0534,0.3388,0.364,0.333,0.617,30.4,0.884,0.648,423,437,-0.129519,0.070938,NA
DVU0323,0.5743,0.0681,0.4009,0.262,0.203,0.52,39.62,0.832,0.681,279,286,0.08986,0.038462,NA
DVU0324,0.5667,0.0417,0.1818,0.206,0.077,0.452,25.86,0.677,0.646,31,32,0.325,0.125,NA
DVU0325,0.5434,0.0922,0.4296,0.314,0.291,0.576,40.84,0.805,0.65,354,365,0.104657,0.076712,NA
DVU0326,0.6054,0.0625,0.4111,0.255,0.222,0.536,35.56,0.858,0.67,332,341,0.134604,0.038123,NA
DVU0327,0.7045,0.0757,0.3493,0.301,0.319,0.587,30.79,0.875,0.634,400,421,0.081473,0.111639,NA
DVU0328,0.6698,0.0973,0.3216,0.245,0.164,0.503,35.46,0.844,0.674,360,381,0.044094,0.073491,NA
DVU0329,0.3611,0.2059,0.3438,0.27,0.042,0.447,NA,0.632,0.675,38,39,0.54359,0.051282,NA
DVU0330,0.5341,0.1319,0.3839,0.224,0.186,0.504,41.16,0.789,0.655,399,412,0.113349,0.036408,NA
DVU0331,0.5732,0.1332,0.3743,0.25,0.212,0.532,40.78,0.798,0.658,934,973,-0.07739,0.055498,NA
DVU0332,0.4186,0.1707,0.35,0.169,0.112,0.449,53.4,0.653,0.622,49,52,-0.311539,0.019231,NA
DVU0333,0.5661,0.097,0.4118,0.234,0.201,0.531,42.37,0.821,0.68,207,218,-0.198165,0.06422,NA
DVU0334,0.5243,0.102,0.4421,0.228,0.165,0.502,40.24,0.824,0.679,295,303,0.232673,0.069307,NA
DVU0335,0.42,0.107,0.4421,0.215,0.114,0.466,42.6,0.749,0.686,502,530,0.040377,0.054717,NA
DVU0336,0.6051,0.1521,0.3237,0.272,0.244,0.552,36.42,0.807,0.684,431,446,-0.111659,0.073991,NA
DVU0337,0.5534,0.1314,0.3773,0.282,0.252,0.551,36.38,0.794,0.674,626,656,-0.162805,0.07622,NA
DVU0338,0.6648,0.1203,0.2961,0.302,0.264,0.571,35.15,0.8,0.637,205,213,-0.052582,0.103286,NA
DVU0339,0.7233,0.0798,0.3139,0.332,0.325,0.603,30.04,0.882,0.681,287,301,-0.019933,0.049834,NA
DVU0340,0.6343,0.0909,0.3493,0.259,0.214,0.529,31.48,0.857,0.69,189,197,0.343654,0.076142,NA
DVU0341,0.7526,0.1005,0.3372,0.317,0.229,0.547,29.16,0.864,0.609,236,256,-0.172266,0.050781,NA
DVU0342,0.6614,0.0591,0.4577,0.319,0.276,0.579,32.1,0.884,0.628,292,304,-0.149671,0.088816,NA
DVU0343,0.6996,0.1173,0.3483,0.31,0.268,0.574,30.86,0.876,0.678,249,260,-0.023462,0.084615,NA
DVU0344,0.6359,0.1067,0.3414,0.301,0.191,0.535,37.07,0.822,0.657,624,642,0.01838,0.034268,NA
DVU0345,0.5424,0.2143,0.2703,0.213,0.117,0.484,53.57,0.677,0.581,62,66,-0.274242,0.045455,NA
DVU0346,0.595,0.0746,0.408,0.252,0.226,0.537,36.51,0.866,0.656,477,512,0.60918,0.134766,NA
DVU0347,0.6453,0.0994,0.3067,0.254,0.256,0.556,35.96,0.846,0.68,214,223,0.161883,0.044843,NA
DVU0348,0.6386,0.1098,0.3614,0.283,0.293,0.581,36.4,0.843,0.671,542,574,-0.316725,0.108014,NA
DVU0349,0.7073,0.0856,0.4135,0.366,0.323,0.607,30.7,0.891,0.641,338,352,-0.280966,0.082386,NA
DVU0350,0.6649,0.0947,0.3924,0.275,0.268,0.558,33.72,0.88,0.68,217,227,-0.147577,0.07489,NA
DVU0351,0.6702,0.0948,0.3683,0.312,0.311,0.591,33.65,0.857,0.653,530,544,-0.120404,0.069853,NA
DVU0352,0.7143,0.0836,0.4039,0.329,0.332,0.612,31.84,0.89,0.631,374,393,-0.192876,0.10687,NA
DVU0353,0.7415,0.0797,0.3617,0.327,0.329,0.611,29.58,0.894,0.631,339,357,-0.068347,0.084034,NA
DVU0354,0.4822,0.1104,0.3707,0.179,0.045,0.428,47.31,0.746,0.689,346,352,-0.214773,0.042614,NA
DVU0355,0.5624,0.1481,0.3756,0.252,0.183,0.516,43.61,0.782,0.648,583,607,-0.208072,0.057661,NA
DVU0356,0.4817,0.1233,0.4155,0.185,-0.028,0.391,45.4,0.75,0.654,184,191,-0.141361,0.104712,NA
DVU0357,0.5,0.1091,0.455,0.213,0.159,0.493,39.23,0.797,0.659,290,305,-0.067213,0.095082,NA
DVU0358,0.5047,0.1771,0.3681,0.213,0.083,0.461,42.98,0.697,0.592,241,247,-0.259109,0.125506,NA
DVU0359,0.6452,0.0732,0.2763,0.319,0.217,0.552,36.43,0.771,0.633,105,108,0.12963,0.064815,NA
DVU0360,0.5744,0.0917,0.3913,0.249,0.168,0.508,37.98,0.813,0.668,541,563,0.073179,0.049734,NA
DVU0361,0.6163,0.0864,0.4342,0.292,0.296,0.576,30.63,0.869,0.66,99,107,0.107477,0.056075,NA
DVU0362,0.6085,0.1231,0.3476,0.268,0.225,0.534,36.71,0.835,0.676,249,259,0.136679,0.084942,NA
DVU0363,0.5421,0.1536,0.3732,0.227,0.194,0.527,41.56,0.784,0.676,357,366,-0.410656,0.04918,NA
DVU0364,0.5422,0.1007,0.4254,0.209,0.182,0.5,41.02,0.826,0.674,178,184,-0.075543,0.054348,NA
DVU0365,0.6364,0.1053,0.324,0.24,0.23,0.548,37.51,0.828,0.693,239,251,-0.099602,0.091633,NA
DVU0366,0.54,0.1385,0.3318,0.252,0.201,0.529,43.18,0.763,0.695,274,283,-0.181625,0.045936,NA
DVU0367,0.4597,0.1443,0.3967,0.241,0.199,0.525,45.72,0.72,0.631,236,244,-0.121721,0.061475,NA
DVU0368,0.2593,0.2963,0.4074,0.143,-0.156,0.344,42.71,0.562,0.578,32,34,-0.061765,0.058824,NA
DVU0369,0.2143,0.3571,0.3636,0.338,-0.408,0.233,NA,0.333,0.365,30,32,1.046875,0.25,NA
DVU0370,0.3714,0.3235,0.3929,0.185,0.103,0.467,NA,0.533,0.397,45,47,-0.112766,0.06383,NA
DVU0371,0.5985,0.1051,0.3153,0.356,0.284,0.593,38.34,0.758,0.601,447,474,-0.121941,0.118143,NA
DVU0372,0.615,0.0983,0.3418,0.263,0.291,0.577,38.68,0.831,0.626,213,230,0.823478,0.117391,NA
DVU0373,0.6595,0.1007,0.3351,0.287,0.229,0.548,34.63,0.823,0.639,746,770,-0.01039,0.064935,NA
DVU0374,0.6919,0.0919,0.325,0.323,0.296,0.589,32.88,0.852,0.651,798,832,0.080649,0.063702,NA
DVU0375,0.7227,0.0879,0.3427,0.377,0.341,0.618,30.67,0.868,0.634,395,409,-0.074083,0.07824,NA
DVU0376,0.4928,0.1892,0.4507,0.236,0.251,0.553,42.23,0.776,0.602,85,88,-0.134091,0.056818,NA
DVU0377,0.6964,0.1362,0.3153,0.276,0.167,0.519,33,0.832,0.642,291,305,0.037049,0.068852,NA
DVU0378,0.6585,0.1667,0.3521,0.288,0.236,0.556,41.61,0.798,0.587,99,104,0.029808,0.076923,NA
DVU0379,0.4637,0.2061,0.4267,0.263,0.154,0.498,50.87,0.69,0.532,213,225,0.021333,0.066667,NA
DVU0380,0.6625,0.097,0.4392,0.357,0.334,0.614,34.43,0.852,0.608,487,520,-0.485,0.111538,NA
DVU0381,0.5902,0.124,0.3158,0.234,0.154,0.486,38.78,0.803,0.621,436,463,1.027862,0.077754,NA
DVU0382,0.3291,0.3143,0.3485,0.198,0.086,0.462,55.77,0.538,0.549,91,99,-0.411111,0.090909,NA
DVU0383,0.4234,0.098,0.4216,0.206,0.056,0.431,36.99,0.732,0.685,123,129,-0.029457,0.031008,NA
DVU0384,0.6687,0.1049,0.3333,0.317,0.286,0.585,31.58,0.831,0.635,183,190,0.067368,0.1,NA
DVU0385,0.3571,0.2963,0.3462,0.2,0.092,0.472,43.01,0.528,0.5,36,40,-0.5,0.2,NA
DVU0386,0.7568,0.0765,0.4094,0.337,0.203,0.545,28.4,0.894,0.612,235,249,-0.323695,0.104418,NA
DVU0387,0.4873,0.0787,0.4601,0.232,0.187,0.505,39.31,0.799,0.621,214,225,0.754222,0.12,NA
DVU0388,0.5519,0.098,0.3698,0.244,0.169,0.504,39.21,0.77,0.641,244,255,0.043137,0.035294,NA
DVU0389,0.551,0.0506,0.5062,0.294,0.264,0.555,38.26,0.867,0.629,218,224,0.739286,0.133929,NA
DVU0390,0.5558,0.1005,0.3408,0.246,0.209,0.526,39.3,0.775,0.664,445,460,0.228044,0.041304,NA
DVU0391,0.5185,0.1647,0.3771,0.219,0.134,0.487,44.14,0.763,0.669,300,313,-0.328754,0.063898,NA
DVU0392,0.5543,0.0912,0.3823,0.242,0.136,0.488,40.7,0.798,0.668,377,399,0.062907,0.065163,NA
DVU0393,0.331,0.153,0.4323,0.21,0.04,0.433,48.62,0.655,0.666,319,329,-0.317021,0.06079,NA
DVU0394,0.4966,0.1811,0.3594,0.2,0.077,0.443,41.63,0.731,0.668,327,340,-0.057941,0.067647,NA
DVU0395,0.6071,0.0928,0.3908,0.302,0.34,0.62,36.94,0.791,0.621,129,139,0.06187,0.079137,NA
DVU0396,0.6286,0.0897,0.4583,0.33,0.222,0.548,34.38,0.828,0.586,93,95,-0.563158,0.063158,NA
DVU0397,0.652,0.1277,0.2944,0.269,0.221,0.545,35.94,0.798,0.632,233,243,-0.260082,0.102881,NA
DVU0398,0.7084,0.0851,0.4433,0.327,0.312,0.601,32.5,0.888,0.616,582,608,-0.326974,0.105263,NA
DVU0399,0.6193,0.1224,0.3439,0.271,0.251,0.552,38.51,0.8,0.651,250,262,-0.24542,0.076336,NA
DVU0400,0.5404,0.1268,0.3741,0.215,0.1,0.461,44.94,0.781,0.67,178,183,-0.001093,0.065574,NA
DVU0401,0.6013,0.2197,0.256,0.214,0.151,0.5,46.73,0.73,0.627,174,183,-0.478142,0.087432,NA
DVU0402,0.7021,0.1016,0.3469,0.417,0.42,0.667,32.01,0.813,0.614,418,437,-0.452403,0.100687,NA
DVU0403,0.7161,0.0554,0.3595,0.445,0.476,0.697,30.3,0.858,0.617,360,381,-0.127821,0.097113,NA
DVU0404,0.7407,0.1071,0.3636,0.494,0.461,0.703,32.18,0.811,0.556,74,78,-0.65641,0.115385,NA
DVU0405,0.505,0.1099,0.3728,0.234,0.104,0.473,45.61,0.735,0.637,452,468,-0.021581,0.07906,NA
DVU0406,0.5387,0.1918,0.2434,0.239,0.124,0.477,46.63,0.698,0.609,298,312,0.899359,0.125,NA
DVU0407,0.489,0.1279,0.3519,0.237,0.119,0.483,51.76,0.705,0.606,207,214,-0.107477,0.060748,NA
DVU0408,0.5212,0.1049,0.4059,0.232,0.103,0.468,43.81,0.746,0.607,690,715,-0.052168,0.065734,NA
DVU0409,0.5158,0.21,0.28,0.233,0.186,0.509,42.95,0.675,0.655,114,116,-0.517241,0.017241,NA
DVU0410,0.6291,0.1234,0.4245,0.329,0.299,0.583,39.02,0.802,0.574,192,201,-0.109453,0.064677,NA
DVU0411,0.5111,0.2042,0.3101,0.226,0.114,0.476,46.45,0.707,0.658,542,557,-0.01526,0.066427,NA
DVU0412,0.5778,0.1319,0.386,0.206,0.12,0.46,43.42,0.791,0.623,215,221,0.151584,0.036199,NA
DVU0413,0.5941,0.0963,0.3796,0.243,0.228,0.536,38.73,0.846,0.638,429,445,0.770562,0.092135,NA
DVU0414,0.6793,0.0597,0.3657,0.282,0.159,0.509,33.92,0.86,0.66,422,439,0.155353,0.072893,NA
DVU0415,0.5499,0.0764,0.4143,0.257,0.143,0.493,37.59,0.813,0.68,491,507,0.093491,0.061144,NA
DVU0416,0.5969,0.1496,0.3398,0.265,0.29,0.575,40.2,0.783,0.617,355,372,0.099462,0.08871,NA
DVU0417,0.6399,0.0776,0.4178,0.29,0.26,0.563,35.47,0.842,0.625,639,659,-0.220637,0.08953,NA
DVU0418,0.6623,0.0607,0.4806,0.331,0.267,0.575,34.31,0.882,0.621,372,396,-0.158333,0.093434,NA
DVU0419,0.5473,0.0887,0.4513,0.255,0.186,0.521,39.05,0.82,0.654,378,390,-0.087692,0.089744,NA
DVU0420,0.3673,0.1042,0.5435,0.214,0.246,0.527,32.81,0.782,0.678,55,58,-0.17069,0.051724,NA
DVU0421,0.4341,0.1283,0.4186,0.219,0.119,0.479,46.31,0.721,0.657,280,290,-0.033104,0.07931,NA
DVU0422,0.5841,0.1467,0.3467,0.233,0.197,0.517,39.74,0.785,0.65,1042,1072,-0.15597,0.054104,NA
DVU0423,0.4167,0.1538,0.4464,0.2,0.041,0.419,45.94,0.735,0.636,136,141,0.463121,0.035461,NA
DVU0424,0.4814,0.0954,0.447,0.246,0.217,0.526,41.47,0.779,0.638,466,481,-0.062994,0.093555,NA
DVU0425,0.5417,0.0392,0.4112,0.232,0.129,0.484,36.2,0.818,0.67,258,268,0.032463,0.074627,NA
DVU0426,0.4646,0.1553,0.3851,0.198,0.061,0.428,45.18,0.74,0.652,430,450,0.554,0.066667,NA
DVU0427,0.28,0.2549,0.4,0.232,0.039,0.441,59.51,0.576,0.595,59,65,-0.444615,0.107692,NA
DVU0428,0.3855,0.2262,0.3375,0.24,-0.043,0.394,46.4,0.596,0.613,99,106,0.103774,0.056604,NA
DVU0429,0.6476,0.0714,0.4681,0.274,0.177,0.527,35.26,0.868,0.642,129,133,-0.238346,0.082707,NA
DVU0430,0.6667,0.0971,0.3711,0.392,0.407,0.642,31.03,0.842,0.638,341,358,0.02933,0.064246,NA
DVU0431,0.7182,0.0435,0.4568,0.333,0.279,0.578,36.36,0.906,0.6,128,130,-0.039231,0.107692,NA
DVU0432,0.7557,0.0427,0.3524,0.298,0.185,0.513,29.69,0.895,0.626,152,157,0.288535,0.057325,NA
DVU0433,0.6067,0.0463,0.4667,0.339,0.382,0.617,33.3,0.894,0.623,264,282,0.969858,0.120567,NA
DVU0434,0.6182,0.0729,0.3938,0.291,0.285,0.571,36.03,0.865,0.633,599,648,0.856481,0.106481,NA
DVU0435,0.5357,0.0909,0.381,0.289,0.318,0.625,38.83,0.719,0.531,32,32,-0.915625,0.125,NA
DVU0436,0.3709,0.2183,0.4032,0.201,0.066,0.447,48.03,0.631,0.594,244,251,-0.363745,0.055777,NA
DVU0437,0.4388,0.1005,0.4861,0.255,0.105,0.483,43.27,0.788,0.682,476,486,-0.217695,0.037037,NA
DVU0438,0.5523,0.0694,0.4987,0.258,0.227,0.536,35.92,0.874,0.643,1004,1041,0.301249,0.073967,NA
DVU0439,0.6092,0.0833,0.3478,0.23,0.112,0.468,39.92,0.819,0.667,94,96,0.139583,0.083333,NA
DVU0440,0.4908,0.0989,0.4237,0.256,0.15,0.502,40.98,0.795,0.691,424,443,0.316027,0.031603,NA
DVU0441,0.6491,0.0871,0.3262,0.269,0.246,0.546,33.73,0.858,0.694,562,575,0.237391,0.045217,NA
DVU0442,0.6453,0.1063,0.3855,0.269,0.213,0.529,36.27,0.826,0.623,384,398,-0.222864,0.072864,NA
DVU0443,0.5413,0.129,0.3702,0.257,0.16,0.496,35.01,0.791,0.693,234,244,0.028279,0.053279,NA
DVU0444,0.5237,0.1457,0.3362,0.207,0.115,0.474,43.03,0.764,0.704,720,740,-0.077297,0.027027,NA
DVU0445,0.5545,0.1734,0.3333,0.22,0.174,0.507,38.6,0.781,0.689,552,574,-0.079442,0.033101,NA
DVU0446,0.6422,0.0705,0.3597,0.262,0.196,0.525,33.95,0.873,0.653,482,515,0.81398,0.118447,NA
DVU0447,0.6813,0.1282,0.2609,0.327,0.393,0.639,38.04,0.825,0.61,97,105,0.329524,0.095238,NA
